2017-02-07 14:39:53 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/datastatistics/shoppricesum],methods=[GET]}" onto public com.foreveross.springboot.dubbo.utils.Payload hss.service.rest.DataStatisticsRestServiceImpl.getShopPriceSum()
2017-02-07 14:39:53 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/datastatistics/getdata],methods=[GET]}" onto public com.foreveross.springboot.dubbo.utils.Payload hss.service.rest.DataStatisticsRestServiceImpl.getSum(java.lang.String,java.lang.String,java.lang.String)
2017-02-07 14:39:53 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/datastatistics/getdatatest],methods=[GET]}" onto public com.foreveross.springboot.dubbo.utils.Payload hss.service.rest.DataStatisticsRestServiceImpl.getDataTest(java.lang.String)
2017-02-07 14:39:53 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/datastatistics/username],methods=[GET]}" onto public com.foreveross.springboot.dubbo.utils.Payload hss.service.rest.DataStatisticsRestServiceImpl.getOrderPageList(java.lang.String,int,int)
2017-02-07 14:39:53 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/datastatistics/username2],methods=[GET]}" onto public com.foreveross.springboot.dubbo.utils.Payload hss.service.rest.DataStatisticsRestServiceImpl.getMessagesPageList(java.lang.String,int,int,java.lang.String,java.lang.String)
2017-02-07 14:39:53 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/datastatistics/messagesusername],methods=[GET]}" onto public com.foreveross.springboot.dubbo.utils.Payload hss.service.rest.DataStatisticsRestServiceImpl.getOrderPageList2(java.lang.String,int,int)
2017-02-07 14:39:53 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/messages/file],methods=[GET]}" onto public java.lang.String hss.service.rest.MessagesRsetServiceImpl.download(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws java.io.IOException
2017-02-07 14:39:53 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/messages/update/{id}],methods=[PUT]}" onto public com.foreveross.springboot.dubbo.utils.Payload hss.service.rest.MessagesRsetServiceImpl.updateShopById(java.lang.Integer,hss.domain.Messages)
2017-02-07 14:39:53 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/messages/messagespage],methods=[GET]}" onto public com.foreveross.springboot.dubbo.utils.Payload hss.service.rest.MessagesRsetServiceImpl.getMessagesPageList(int,int,java.lang.String,java.lang.String,java.lang.String,java.lang.String)
2017-02-07 14:39:53 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/messages/amendmessages_status],methods=[PUT]}" onto public java.lang.String hss.service.rest.MessagesRsetServiceImpl.amendShop_statusById(java.lang.Integer,java.lang.Integer)
2017-02-07 14:39:53 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/order/orderspage],methods=[GET]}" onto public com.foreveross.springboot.dubbo.utils.Payload hss.service.rest.OrderRestServiceImpl.getOrderPageList(int,int,java.lang.String,java.lang.String,java.lang.String,java.lang.String)
2017-02-07 14:39:53 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/order/file],methods=[GET]}" onto public java.lang.String hss.service.rest.OrderRestServiceImpl.download(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws java.io.IOException
2017-02-07 14:39:53 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/order/update/{id}],methods=[PUT]}" onto public com.foreveross.springboot.dubbo.utils.Payload hss.service.rest.OrderRestServiceImpl.updateShopById(java.lang.Integer,hss.domain.Order)
2017-02-07 14:39:53 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/order/testAddOrder]}" onto public void hss.service.rest.OrderRestServiceImpl.testAddOrder()
2017-02-07 14:39:53 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/order/amendpaystatus],methods=[PUT]}" onto public java.lang.String hss.service.rest.OrderRestServiceImpl.amendShop_statusById(java.lang.Integer,java.lang.Integer)
